Reward per step,Efficiency (Reward per Step),Training/Test Time (s),Latency (s/step),Throughput (steps/s),Memory Consumed (MB),Stability (Reward Std),Convergence Rate per step
0.0064140319074206704,0.0064140319074206704,0.0010405200300738215,0.0010405200300738215,961.0579047950218,740.1875,0.0,0.0
0.008371731693478872,0.008371731693478872,0.0010557640343904495,0.0010557640343904495,947.1813468028913,740.1875,0.0,19.029905447729206
0.011032585521914585,0.011032585521914585,0.0011801759246736765,0.0011801759246736765,847.3312995912064,740.1875,0.0,17.077034095668687
0.0027907605073730374,0.0027907605073730374,0.0010601020185276866,0.0010601020185276866,943.3054390263696,740.1875,0.0,16.291071618061707
0.002308740896633698,0.002308740896633698,0.0011314490111544728,0.0011314490111544728,883.8224172202431,740.1875,0.0,15.939442890118327
0.0038014162113028816,0.0038014162113028816,0.0010837409645318985,0.0010837409645318985,922.729722994213,740.1875,0.0,15.773116170106793
0.006325750650706305,0.006325750650706305,0.0016843799967318773,0.0016843799967318773,593.6902610695049,740.1875,0.0,14.553707634476497
0.007737267225820889,0.007737267225820889,0.00705583905801177,0.00705583905801177,141.72658868466098,740.1875,0.0,8.224051397741725
0.012708451680434385,0.012708451680434385,0.003555100061930716,0.003555100061930716,281.28603487377416,740.1875,0.0,6.548971237878464
0.017385405618372842,0.017385405618372842,0.0009497670689597726,0.0009497670689597726,1052.8897375808626,740.1875,0.0,6.026319889250964
0.008779929218370364,0.008779929218370364,0.010562006034888327,0.010562006034888327,94.67898396353957,740.1875,0.0,4.391394238934441
0.008432423343064077,0.008432423343064077,0.000685469014570117,0.000685469014570117,1458.8551469786523,740.1875,0.0,4.606329557731018
0.004629112618548866,0.004629112618548866,0.000849948963150382,0.000849948963150382,1176.541231715191,740.1875,0.0,5.219170762287608
0.003624727686553724,0.003624727686553724,0.0006722320104017854,0.0006722320104017854,1487.5816452154836,740.1875,0.0,5.994032276053745
0.005213439766302148,0.005213439766302148,0.0009297289652749896,0.0009297289652749896,1075.5822797284002,740.1875,0.0,6.866906794053412
0.007203422792085722,0.007203422792085722,0.0008919439278542995,0.0008919439278542995,1121.1467097552254,740.1875,0.0,7.818721174263997
0.005144234584095786,0.005144234584095786,0.0007057120092213154,0.0007057120092213154,1417.0086195690546,740.4453125,0.0,8.828980343192748
0.010194725040030904,0.010194725040030904,0.000832649995572865,0.000832649995572865,1200.984813927727,740.4453125,0.0,9.924252436275404
0.010242927491813013,0.010242927491813013,0.0008455580100417137,0.0008455580100417137,1182.6509690927855,740.4453125,0.0,11.10434278877895
0.012188249511430702,0.012188249511430702,0.0014962119748815894,0.0014962119748815894,668.3544957452572,740.4453125,0.0,12.389489109723534
0.010736489577246567,0.010736489577246567,0.001026946003548801,0.001026946003548801,973.7610317819203,740.4453125,0.0,13.76956706786932
0.007598876337756496,0.007598876337756496,0.001288941944949329,0.001288941944949329,775.8301325505488,740.4453125,0.0,15.244414095283991
0.0062517676328859885,0.0062517676328859885,0.0010783999459818006,0.0010783999459818006,927.2997497135226,740.4453125,0.0,16.81819044415576
0.007577235800897494,0.007577235800897494,0.0008867649594321847,0.0008867649594321847,1127.6945366000052,740.4453125,0.0,18.517938394749525
0.00877301272926351,0.00877301272926351,0.00097846204880625,0.00097846204880625,1022.0120455566231,740.4453125,0.0,20.38467627272755
0.006537303355881523,0.006537303355881523,0.0029350469121709466,0.0029350469121709466,340.71005674670346,740.4453125,0.0,22.48845242290975
0.007024398366274033,0.007024398366274033,0.0011460100067779422,0.0011460100067779422,872.5927296320424,740.4453125,0.0,24.84066238261832
0.0055330307752671296,0.0055330307752671296,0.0009962080512195826,0.0009962080512195826,1003.8063823874694,740.4453125,0.0,27.52723983805045
0.0017838291973952987,0.0017838291973952987,0.00084442098159343,0.00084442098159343,1184.24343046639,740.4453125,0.0,30.666409081950636
0.0005237229308687197,0.0005237229308687197,0.000722456956282258,0.000722456956282258,1384.1655081376339,740.4453125,0.0,34.55942958260571
0.0008657018515794181,0.0008657018515794181,0.0008716089650988579,0.0008716089650988579,1147.3034813112322,740.4453125,0.0,40.27370635873741
0.004157434070383964,0.004157434070383964,0.0009353470522910357,0.0009353470522910357,1069.1218810714201,740.4453125,0.0,46.35252756309972
0.0038359491147054448,0.0038359491147054448,0.0010783059988170862,0.0010783059988170862,927.3805404931543,740.4453125,0.0,48.495222789363254
0.0018476793040447196,0.0018476793040447196,0.0009481400484219193,0.0009481400484219193,1054.6965099347888,740.4453125,0.0,49.03320298558367
0.0009060134881082385,0.0009060134881082385,0.0009763500420376658,0.0009763500420376658,1024.2228267978319,740.4453125,0.0,48.632181753258045
0.0005238215656245739,0.0005238215656245739,0.0008819010108709335,0.0008819010108709335,1133.914110170297,740.4453125,0.0,47.63518004610494
0.002446091742900336,0.002446091742900336,0.000709302956238389,0.000709302956238389,1409.8348120572487,740.4453125,0.0,46.25535011059541
-0.0046606361661837015,-0.0046606361661837015,0.0011562529252842069,0.0011562529252842069,864.8626767834555,740.4453125,0.0,44.54461186801376
-0.002415783119159508,-0.002415783119159508,0.0008628859650343657,0.0008628859650343657,1158.9016863429615,740.4453125,0.0,42.643318491842855
0.001222476783761292,0.001222476783761292,0.0009408219484612346,0.0009408219484612346,1062.9003730573615,740.4453125,0.0,40.60326196446627
0.0019460058744564662,0.0019460058744564662,0.0013056580210104585,0.0013056580210104585,765.8973359854922,740.4453125,0.0,38.42099294563931
0.00424438316439214,0.00424438316439214,0.0010338969295844436,0.0010338969295844436,967.2144015380064,740.4453125,0.0,36.18506261841947
