Average Reward,Efficiency (Reward per Step),Training/Test Time (s),Latency (s/step),Throughput (steps/s),Memory Consumed (MB),Convergence Rate (episodes),Stability (Reward Std)
1.882855180427853,1.882855180427853,1.8970610939722974,0.0018970610939722974,527.1311520632571,663.26171875,0.0,9.564700922945688
1.8323429540813292,1.8323429540813292,1.4761523982451763,0.0014761523982451763,677.4368291436455,663.6796875,0.0,9.442949523431118
1.832558247177632,1.832558247177632,2.2919093070045164,0.0022919093070045164,436.317439326158,663.45703125,0.0,9.442913415647407
1.8827322391282426,1.8827322391282426,2.390830623009151,0.0023908306230091513,418.26467771329544,663.7265625,0.0,9.56477250549402
0.0777664483463221,0.0777664483463221,1.746399262001887,0.001746399262001887,572.6067467834966,663.953125,0.0,2.2349705913269617
0.03386022559790567,0.03386022559790567,2.028970929000934,0.002028970929000934,492.8606840574105,663.6796875,0.0,1.581161804626425
0.03397394490245464,0.03397394490245464,2.510044165981526,0.002510044165981526,398.39936426336175,663.3515625,0.0,1.5811530401784104
0.03304429913655521,0.03304429913655521,2.5663632769901596,0.0025663632769901594,389.65644847163014,664.89453125,0.0,1.5811682193030734
0.08385446184409978,0.08385446184409978,2.363059961995532,0.002363059961995532,423.1801207259805,667.47265625,0.0,2.2349907910938334
0.033982953454917544,0.033982953454917544,2.1293511419983133,0.0021293511419983135,469.6266295757772,660.328125,0.0,1.5811678083097296
0.08354379119147859,0.08354379119147859,2.001063819000251,0.002001063819000251,499.73418663858945,661.92578125,0.0,2.2349779567406585
0.03270026154795618,0.03270026154795618,1.8855880220007748,0.0018855880220007748,530.3385407268933,664.7578125,0.0,1.581160452751198
-0.006915181832396923,-0.006915181832396923,1.8789578729995355,0.0018789578729995356,532.2099097430096,667.3359375,0.0,0.14251838298122033
0.03476263959361508,0.03476263959361508,2.027045092000435,0.002027045092000435,493.32893675943217,663.234375,0.0,1.5848851129295471
1.4824537486143445,1.4824537486143445,1.9298936599993795,0.0019298936599993794,518.1632650165407,663.41015625,0.0,8.533479293222832
0.032464870255205905,0.032464870255205905,1.7081429309992018,0.0017081429309992017,585.4311028966623,663.44921875,0.0,1.5836686303301097
0.1813769362173248,0.1813769362173248,1.9703111840001384,0.0019703111840001382,507.5340423992283,663.7109375,0.0,3.1581380903285634
0.3297289090759059,0.3297289090759059,1.7958933159977732,0.0017958933159977733,556.8259490093452,665.25390625,0.0,4.170759997973659
0.2797493582657008,0.2797493582657008,1.6923324480010251,0.0016923324480010251,590.9004470021214,667.83203125,0.0,3.8633281104269006
0.27960454281277525,0.27960454281277525,1.6753319479994389,0.0016753319479994389,596.896633645725,670.41015625,0.0,3.86334255448786
0.32981163938275204,0.32981163938275204,1.8603203659963583,0.0018603203659963584,537.5418225152933,672.98828125,0.0,4.17076973984267
0.27978646846813204,0.27978646846813204,1.7346529760079648,0.0017346529760079647,576.4841808886439,675.56640625,0.0,3.863307845493788
0.2797930532598037,0.2797930532598037,1.8302971019893448,0.0018302971019893447,546.359385540797,678.14453125,0.0,3.863327956022485
0.3297237902117423,0.3297237902117423,1.7086783230029141,0.001708678323002914,585.2476657177646,680.72265625,0.0,4.17078572643763
0.2796512794830814,0.2796512794830814,1.818984347004971,0.0018189843470049708,549.7573421379569,683.30078125,0.0,3.863301292792572
0.27965551176564246,0.27965551176564246,1.884967009013053,0.001884967009013053,530.5132637433206,685.87890625,0.0,3.8633324223061103
1.1367921058941006,1.1367921058941006,2.3312288340102896,0.0023312288340102895,428.9583182101231,663.69921875,0.0,7.498859400768066
1.0868089639279481,1.0868089639279481,1.7251997989924348,0.0017251997989924349,579.6430074847146,664.0390625,0.0,7.337757809007478
1.0847423476721363,1.0847423476721363,2.0484708229942044,0.002048470822994204,488.16902285106613,663.796875,0.0,7.337808969614559
0.6267929859970658,0.6267929859970658,2.1086045759811896,0.0021086045759811894,474.24728723007416,664.29296875,0.0,5.449685780986638
1.0805831578561547,1.0805831578561547,2.0383684309999808,0.002038368430999981,490.588445538975,664.2421875,0.0,7.337829049558089
1.083504732677684,1.083504732677684,1.9555273639944062,0.001955527363994406,511.37100835928806,664.14453125,0.0,7.337846103757745
1.0809128182968373,1.0809128182968373,1.7700414430009914,0.0017700414430009913,564.9585234030251,664.1484375,0.0,7.337838431864331
1.0309692588999815,1.0309692588999815,2.0317114960016625,0.0020317114960016623,492.19586637569614,663.94921875,0.0,7.172804914450531
0.9818657009266175,0.9818657009266175,1.813391219994628,0.0018133912199946281,551.4529843168439,664.10546875,0.0,7.003520321180184
1.03178929518446,1.03178929518446,1.7192284329930771,0.001719228432993077,581.6562713885891,664.26171875,0.0,7.172795177344614
1.0336245442940644,1.0336245442940644,2.2014545240117513,0.0022014545240117513,454.24513161311256,664.2109375,0.0,7.172828364182427
1.0834485422716862,1.0834485422716862,1.8077709810204396,0.0018077709810204396,553.16741473277,664.3203125,0.0,7.3378333615774505
1.033539306893203,1.033539306893203,2.1877104290088027,0.0021877104290088027,457.09888600433976,663.96484375,0.0,7.17278323709226
1.1833077770127105,1.1833077770127105,2.34946239900637,0.00234946239900637,425.6292845643829,665.25,0.0,7.656282122645779
1.033547140524084,1.033547140524084,2.5269912109870347,0.002526991210987035,395.7275338561242,667.828125,0.0,7.172823716688016
1.0834852719311696,1.0834852719311696,2.5062482380017173,0.0025062482380017173,399.0027742811783,670.1484375,0.0,7.337834586558539
1.0834518125839012,1.0834518125839012,2.285310962040967,0.002285310962040967,437.577212296273,672.46875,0.0,7.337835342263393
