Reward per step,Efficiency (Reward per Step),Training/Test Time (s),Latency (s/step),Throughput (steps/s),Memory Consumed (MB),Stability (Reward Std),Convergence Rate per step
-0.01731123075672705,-0.01731123075672705,0.04439201601780951,0.04439201601780951,22.52657323782756,746.19921875,0.0,0.0
-0.015662215721702778,-0.015662215721702778,0.0447792939376086,0.0447792939376086,22.331750058259274,746.19921875,0.0,0.0
-0.01312343085308041,-0.01312343085308041,0.04438072396442294,0.04438072396442294,22.53230480876412,746.19921875,0.0,0.0
-0.011268856834350796,-0.011268856834350796,0.04438759002368897,0.04438759002368897,22.528819417010823,746.19921875,0.0,0.0
-0.0044019180520920315,-0.0044019180520920315,0.04472892498597503,0.04472892498597503,22.356897696815984,746.19921875,0.0,0.0
0.004930197108252116,0.004930197108252116,0.045087206992320716,0.045087206992320716,22.179240336850334,746.19921875,0.0,0.0
-0.003352676769034546,-0.003352676769034546,0.04518586094491184,0.04518586094491184,22.130816567136918,746.19921875,0.0,0.0
0.008456139783529836,0.008456139783529836,0.045000268961302936,0.045000268961302936,22.222089402619563,746.19921875,0.0,0.0
0.010587400183865215,0.010587400183865215,0.058213377953507006,0.058213377953507006,17.178181977322552,746.19921875,0.0,0.0
0.018102056685311323,0.018102056685311323,0.04805009800475091,0.04805009800475091,20.811612078317218,746.19921875,0.0,0.0
0.02609265578377559,0.02609265578377559,0.044481073040515184,0.044481073040515184,22.481472042932936,746.19921875,0.0,0.0
0.03302064428280167,0.03302064428280167,0.044317028019577265,0.044317028019577265,22.5646900229466,746.19921875,0.0,0.0
0.0300468092775254,0.0300468092775254,0.04461369605269283,0.04461369605269283,22.414641432507835,746.19921875,0.0,0.0
0.0320140542905139,0.0320140542905139,0.053159935981966555,0.053159935981966555,18.81115884600068,746.19921875,0.0,0.0
0.030290354947804358,0.030290354947804358,0.05319446907378733,0.05319446907378733,18.798946909553244,746.19921875,0.0,0.0
0.02009583797621356,0.02009583797621356,0.05052000307478011,0.05052000307478011,19.794139729560033,746.19921875,0.0,0.0
