Reward per step,Efficiency (Reward per Step),Training/Test Time (s),Latency (s/step),Throughput (steps/s),Memory Consumed (MB),Stability (Reward Std),Convergence Rate per step
-0.019573314263452303,-0.019573314263452303,0.04470480291638523,0.04470480291638523,22.368961157716665,743.24609375,0.0,0.0
-0.01816558453289768,-0.01816558453289768,0.044349984964355826,0.044349984964355826,22.547921962176584,743.24609375,0.0,0.0
-0.01915647780506509,-0.01915647780506509,0.043717535911127925,0.043717535911127925,22.874116282145227,743.24609375,0.0,0.0
-0.0198752587284627,-0.0198752587284627,0.04424151999410242,0.04424151999410242,22.603201701327265,743.24609375,0.0,0.0
-0.01912803653610547,-0.01912803653610547,0.05025645496789366,0.05025645496789366,19.897941481126157,743.24609375,0.0,0.0
-0.019963736667476476,-0.019963736667476476,0.05436833295971155,0.05436833295971155,18.393059811876665,743.24609375,0.0,0.0
-0.020199810726027573,-0.020199810726027573,0.08523744100239128,0.08523744100239128,11.731933622596033,743.24609375,0.0,0.0
-0.01911286548915095,-0.01911286548915095,0.05178533599246293,0.05178533599246293,19.310485890166753,743.24609375,0.0,0.0
-0.020483359051613966,-0.020483359051613966,0.055868076044134796,0.055868076044134796,17.899309781314425,743.24609375,0.0,0.0
-0.018058781925772576,-0.018058781925772576,0.055112387984991074,0.055112387984991074,18.144740893323895,743.24609375,0.0,0.0
-0.01953376576777728,-0.01953376576777728,0.05607843701727688,0.05607843701727688,17.832166037222397,743.24609375,0.0,0.0
-0.020138111303497595,-0.020138111303497595,0.05193373991642147,0.05193373991642147,19.255304963773646,743.24609375,0.0,0.0
-0.01744800723298668,-0.01744800723298668,0.05665394593961537,0.05665394593961537,17.651021185105982,743.24609375,0.0,0.06324546100209587
-0.01918853264788299,-0.01918853264788299,0.05605639098212123,0.05605639098212123,17.83917912801312,743.24609375,0.0,0.13677814402474764
-0.0192851299017349,-0.0192851299017349,0.05205605993978679,0.05205605993978679,19.210059331357375,743.24609375,0.0,0.18743641696021993
-0.018383005496473166,-0.018383005496473166,0.05836797598749399,0.05836797598749399,17.132682486955886,743.24609375,0.0,0.22972654517661759
